HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.full_text,Answer.emotion.label,Approve,Reject
3VGET1QSZ0TKMFO2KJ9MO9CYEHZ7W9,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,33CID57105NOWM9A5V4WR0FO28I3LK,A33I17JEFZ925P,Approved,Thu Mar 12 10:42:06 PDT 2020,Thu Mar 12 10:42:11 PDT 2020,Sat Mar 14 10:42:11 PDT 2020,Thu Mar 12 10:43:36 PDT 2020,,,5,90% (9/10),90% (9/10),90% (9/10),LaVonnaRoth All good over here. Hope things bare great for you also. Will see you in June for #TCT20.,Excitement / Anticipation,X,
3VGET1QSZ0TKMFO2KJ9MO9CYEHZ7W9,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3BF51CHDTW4QTYRNVN7FXAOAIFR0HH,AXAXLC0TXQ0QW,Approved,Thu Mar 12 10:53:39 PDT 2020,Thu Mar 12 10:53:52 PDT 2020,Sat Mar 14 10:53:52 PDT 2020,Thu Mar 12 13:01:04 PDT 2020,,,13,100% (2/2),100% (2/2),100% (2/2),LaVonnaRoth All good over here. Hope things bare great for you also. Will see you in June for #TCT20.,Happiness / Joy,X,
3VGET1QSZ0TKMFO2KJ9MO9CYEHZ7W9,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3XIQGXAUMD21XZRMLQAAFBMREJDX74,A23HZ18KTCK2DA,Approved,Thu Mar 12 10:41:29 PDT 2020,Thu Mar 12 10:45:02 PDT 2020,Sat Mar 14 10:45:02 PDT 2020,Thu Mar 12 13:01:04 PDT 2020,,,213,100% (18/18),100% (18/18),100% (18/18),LaVonnaRoth All good over here. Hope things bare great for you also. Will see you in June for #TCT20.,Excitement / Anticipation,X,
3AXFSPQOYQSBVO39V3OJNBV7A99FJQ,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,32ZKVD547GHCJDNYEIF2DXJJQE43BX,A37NFLYNUZQ0QS,Approved,Thu Mar 12 10:41:52 PDT 2020,Thu Mar 12 10:42:06 PDT 2020,Sat Mar 14 10:42:06 PDT 2020,Thu Mar 12 10:43:34 PDT 2020,,,14,100% (10/10),100% (10/10),100% (10/10),After 7 months in @Medium jail I finally got my first ever article curated.,Happiness / Joy,X,
3AXFSPQOYQSBVO39V3OJNBV7A99FJQ,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3D4CH1LGEBNUPWKPBD8Q5LD26J59G0,A191V7PT3DQKDP,Approved,Thu Mar 12 10:40:24 PDT 2020,Thu Mar 12 10:40:50 PDT 2020,Sat Mar 14 10:40:50 PDT 2020,Thu Mar 12 10:43:34 PDT 2020,,,26,95% (21/22),95% (21/22),95% (21/22),After 7 months in @Medium jail I finally got my first ever article curated.,Happiness / Joy,X,
3AXFSPQOYQSBVO39V3OJNBV7A99FJQ,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3PPTZCWALRE08CWGI771CNJXR93ZQ1,A3OUNEJO97MM8E,Approved,Thu Mar 12 10:41:14 PDT 2020,Thu Mar 12 10:41:23 PDT 2020,Sat Mar 14 10:41:23 PDT 2020,Thu Mar 12 10:43:34 PDT 2020,,,9,100% (6/6),100% (6/6),100% (6/6),After 7 months in @Medium jail I finally got my first ever article curated.,Excitement / Anticipation,X,
3K3IX1W4S6LCL8PZF07B666SMS2AP8,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3018Q3ZVOJKZJ538JUG20K2TEAZARD,A37NFLYNUZQ0QS,Approved,Thu Mar 12 10:41:39 PDT 2020,Thu Mar 12 10:41:52 PDT 2020,Sat Mar 14 10:41:52 PDT 2020,Thu Mar 12 10:43:35 PDT 2020,,,13,100% (10/10),100% (10/10),100% (10/10),Exciting things are happening for us.  Ill post about it once it's confirmed.,Happiness / Joy,X,
3K3IX1W4S6LCL8PZF07B666SMS2AP8,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3SNLUL3WO5H8VGMTKF0XE95OFL1ULI,A23HZ18KTCK2DA,Approved,Thu Mar 12 10:41:21 PDT 2020,Thu Mar 12 10:43:08 PDT 2020,Sat Mar 14 10:43:08 PDT 2020,Thu Mar 12 10:44:40 PDT 2020,,,107,100% (18/18),100% (18/18),100% (18/18),Exciting things are happening for us.  Ill post about it once it's confirmed.,Excitement / Anticipation,X,
3K3IX1W4S6LCL8PZF07B666SMS2AP8,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3Y9N9SS8LZ55YALISE688N7JTZG3D4,A33I17JEFZ925P,Approved,Thu Mar 12 10:41:54 PDT 2020,Thu Mar 12 10:42:00 PDT 2020,Sat Mar 14 10:42:00 PDT 2020,Thu Mar 12 10:43:35 PDT 2020,,,6,90% (9/10),90% (9/10),90% (9/10),Exciting things are happening for us.  Ill post about it once it's confirmed.,Excitement / Anticipation,X,
30EMX9PEVKDFADEDJ8OUVPEZEO3KSD,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,37M28K1J0R7ILHKVBP7TYTG24T5AJL,A3OUNEJO97MM8E,Approved,Thu Mar 12 10:41:32 PDT 2020,Thu Mar 12 10:41:40 PDT 2020,Sat Mar 14 10:41:40 PDT 2020,Thu Mar 12 10:43:32 PDT 2020,,,8,100% (6/6),100% (6/6),100% (6/6),"Oh my! Under 2 months until the @UltraChallenges IOW Ultra marathon.  If anyone wants to chuck a few quid at the @alzheimerssoc there is a link below. I would be most grateful, as would my lovely dad.",Excitement / Anticipation,X,
30EMX9PEVKDFADEDJ8OUVPEZEO3KSD,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,39ZSFO5CA9Q20QYTHUOKYUSWBWWUJG,A23HZ18KTCK2DA,Approved,Thu Mar 12 10:41:19 PDT 2020,Thu Mar 12 10:42:34 PDT 2020,Sat Mar 14 10:42:34 PDT 2020,Thu Mar 12 10:43:32 PDT 2020,,,75,100% (18/18),100% (18/18),100% (18/18),"Oh my! Under 2 months until the @UltraChallenges IOW Ultra marathon.  If anyone wants to chuck a few quid at the @alzheimerssoc there is a link below. I would be most grateful, as would my lovely dad.",Excitement / Anticipation,X,
30EMX9PEVKDFADEDJ8OUVPEZEO3KSD,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3L4PIM1GQUA0FN1BZ0UI36K0H11YRA,A17INFFRJESCZ5,Approved,Thu Mar 12 10:40:59 PDT 2020,Thu Mar 12 10:41:23 PDT 2020,Sat Mar 14 10:41:23 PDT 2020,Thu Mar 12 10:43:32 PDT 2020,,,24,100% (5/5),100% (5/5),100% (5/5),"Oh my! Under 2 months until the @UltraChallenges IOW Ultra marathon.  If anyone wants to chuck a few quid at the @alzheimerssoc there is a link below. I would be most grateful, as would my lovely dad.",Happiness / Joy,X,
3AJA9FLWSCSF0DJ3DL3JBAG7XUKIFH,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3PS7W85Z80WYU16VVD7X44SRWDE9TA,A37NFLYNUZQ0QS,Approved,Thu Mar 12 10:41:08 PDT 2020,Thu Mar 12 10:41:26 PDT 2020,Sat Mar 14 10:41:26 PDT 2020,Thu Mar 12 10:43:34 PDT 2020,,,18,100% (10/10),100% (10/10),100% (10/10),#NACDance is very much looking forward to welcome the brilliant dancers of @NDTdance next week (March 17 + 18) performing works by the who's who of the international dance scene. A first visit in Ottawa in over 30 years!,Excitement / Anticipation,X,
3AJA9FLWSCSF0DJ3DL3JBAG7XUKIFH,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3WMINLGALCXVD3EP1XQ7BP37E9WAC7,A23HZ18KTCK2DA,Approved,Thu Mar 12 10:41:27 PDT 2020,Thu Mar 12 10:44:36 PDT 2020,Sat Mar 14 10:44:36 PDT 2020,Thu Mar 12 13:01:03 PDT 2020,,,189,100% (18/18),100% (18/18),100% (18/18),#NACDance is very much looking forward to welcome the brilliant dancers of @NDTdance next week (March 17 + 18) performing works by the who's who of the international dance scene. A first visit in Ottawa in over 30 years!,Excitement / Anticipation,X,
3AJA9FLWSCSF0DJ3DL3JBAG7XUKIFH,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3WSELTNVR4WCZKG0NJLX0Z3B2VWATQ,A191V7PT3DQKDP,Approved,Thu Mar 12 10:41:46 PDT 2020,Thu Mar 12 10:42:29 PDT 2020,Sat Mar 14 10:42:29 PDT 2020,Thu Mar 12 10:43:34 PDT 2020,,,43,95% (21/22),95% (21/22),95% (21/22),#NACDance is very much looking forward to welcome the brilliant dancers of @NDTdance next week (March 17 + 18) performing works by the who's who of the international dance scene. A first visit in Ottawa in over 30 years!,Excitement / Anticipation,X,
31YWE12TE06ZBFTSUO58QSQ5NJ57X2,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,36NEMU28XG75T2TJFRGDWA5A062MWB,A33I17JEFZ925P,Approved,Thu Mar 12 10:40:55 PDT 2020,Thu Mar 12 10:41:07 PDT 2020,Sat Mar 14 10:41:07 PDT 2020,Thu Mar 12 10:43:32 PDT 2020,,,12,90% (9/10),90% (9/10),90% (9/10),Just out for a @JamieMusical fix (again x several) with lots of Musical Theatre and Production Arts students!,Excitement / Anticipation,X,
31YWE12TE06ZBFTSUO58QSQ5NJ57X2,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3IJXV6UZ1YDEPNM6VI8FHIQCRI3RIX,A23HZ18KTCK2DA,Approved,Thu Mar 12 10:41:13 PDT 2020,Thu Mar 12 10:41:54 PDT 2020,Sat Mar 14 10:41:54 PDT 2020,Thu Mar 12 10:43:33 PDT 2020,,,41,100% (18/18),100% (18/18),100% (18/18),Just out for a @JamieMusical fix (again x several) with lots of Musical Theatre and Production Arts students!,Excitement / Anticipation,X,
31YWE12TE06ZBFTSUO58QSQ5NJ57X2,3K17V65Z3MTB787QKE0LDQZV1G9M8F,What emotion does this text convey?,What emotion does this text convey?,"Happy/Joy, Excitement/Anticipation, Trust,  Fear,  Anger, Sadness",$0.01,Thu Mar 12 10:39:47 PDT 2020,3,BatchId:3953871;OriginalHitTemplateId:928390866;,240,172800,Sun Mar 15 10:39:47 PDT 2020,,,3SNVL38CI5M1PGNBDO3W5363JLQCKO,A17INFFRJESCZ5,Approved,Thu Mar 12 10:42:08 PDT 2020,Thu Mar 12 10:42:19 PDT 2020,Sat Mar 14 10:42:19 PDT 2020,Thu Mar 12 10:43:33 PDT 2020,,,11,100% (5/5),100% (5/5),100% (5/5),Just out for a @JamieMusical fix (again x several) with lots of Musical Theatre and Production Arts students!,Happiness / Joy,X,
